question,reference_answer,actual_answer
"What is the capital of France?","Paris is the capital of France.","The capital of France is Paris."
"What is photosynthesis?","Photosynthesis is the process by which plants use sunlight, water, and carbon dioxide to produce oxygen and energy in the form of sugar.","Photosynthesis is when plants convert light energy into chemical energy to make food."
"Who wrote Romeo and Juliet?","William Shakespeare wrote Romeo and Juliet.","Shakespeare wrote Romeo and Juliet."
"What is the largest planet in our solar system?","Jupiter is the largest planet in our solar system.","Jupiter is the biggest planet in the solar system."
"What is the speed of light?","The speed of light is approximately 299,792,458 meters per second or about 186,282 miles per second.","Light travels at about 300,000 km/s."
"What is machine learning?","Machine learning is a subset of artificial intelligence that enables computers to learn and improve from experience without being explicitly programmed.","Machine learning is AI that learns from data automatically."
"What causes seasons on Earth?","Seasons are caused by Earth's axial tilt of 23.5 degrees as it orbits the Sun, resulting in varying amounts of sunlight reaching different parts of Earth throughout the year.","Seasons happen because Earth is tilted on its axis."
"What is DNA?","DNA (deoxyribonucleic acid) is a molecule that carries the genetic instructions for the development, functioning, growth, and reproduction of all known living organisms.","DNA is the genetic material that contains instructions for living things."
"What is the Pythagorean theorem?","The Pythagorean theorem states that in a right triangle, the square of the length of the hypotenuse equals the sum of the squares of the lengths of the other two sides (a² + b² = c²).","In a right triangle, a squared plus b squared equals c squared."
"What is the European Union?","The European Union is a political and economic union of 27 member states located primarily in Europe, established to promote peace, stability, and economic cooperation.","The EU is a group of European countries that work together economically and politically."
